label,pattern_family,main_layer,relation,member_count,signature_contrast
agent+ann-blocking+data-engineering,unknown,unknown,adjacent,1,agent|ann-blocking|edge-runtime
abbreviated+across+addresses,unknown,unknown,adjacent,1,abbreviated|addresses|alphabets
---+data-disambigation+data-matching,unknown,unknown,adjacent,1,data-disambigation|duplicate-detection|link-discovery
algerian+arabic+between,unknown,unknown,divergent,1,algerian|arabic|between
cli+command-line-tool+dedupe,unknown,unknown,adjacent,1,cli|command-line-tool|dependencies
benchmark+comparison+data,unknown,unknown,adjacent,1,benchmark|comparison|data-validation
-3776ab+align+badge,unknown,unknown,adjacent,1,-3776ab|cross-language|downloads
dedupe+deduplication+record-linkage,unknown,unknown,adjacent,1,record-linkage|dedupe|deduplication
across+cms+data,unknown,unknown,divergent,1,cms|end-to-end|entities
---+entity-matching+linkage,unknown,unknown,adjacent,1,preserving|privacy|---
feature+fellegi-sunter+implementation,unknown,unknown,divergent,1,feature|fellegi-sunter|implementation
20build+actions+align,unknown,unknown,divergent,1,20build|actions|com
